Pacific/Apia|LMT -1130 -10 -11 +13 +14|45184:0 -41216:0 -41400:1 -36000:2 -39600:3 46800:4 50400:5|0124343656565656565656565656565656565656565656565656565656566|-CAAAAAAAAAA= -kcI3AA== -bvoEAA== -JZ37yA== TJ8nsA== TZcr4A== Tn3iYA== Tv2LoA== T3cN4A== UGb+4A== UWAqYA== Ukbg4A== U0AMYA== VCbC4A== VR/uYA== Vgak4A== Vv/QYA== V+aG4A== WN+yYA== WcZo4A== Wr+UYA== W6+FYA== XKiw4A== XY9nYA== XoiS4A== X29JYA== YGh04A== YU8rYA== YkhW4A== Yy8NYA== ZCg44A== ZQ7vYA== ZhFVYA== ZvgL4A== Z/E3YA== aNft4A== adEZYA== arfP4A== a7D7YA== bJex4A== bZDdYA== bneT4A== b3C/YA== cGCwYA== cVnb4A== ckCSYA== czm94A== dCB0YA== dRmf4A== dgBWYA== dvmB4A== d+A4YA== eNlj4A== ecAaYA== erlF4A== e6k24A== fKJiYA== fYkY4A== foJEYA== f2j64A== f////w==
Pacific/Galapagos|LMT -05 -06|-21504:0 -18000:1 -18000:1 -21600:2|013233|-CAAAAAAAAAA= -SVuzgA== HhjEUA== KxcK4A== K3H0UA== f////w==
Pacific/Gambier|LMT -09|-32388:0 -32400:1|011|-CAAAAAAAAAA= -a6+3/A== f////w==
Pacific/Guadalcanal|LMT +11|38388:0 39600:1|011|-CAAAAAAAAAA= -a7DMdA== f////w==
Pacific/Guam|LMT GST +09 GDT ChST|-51660:0 34740:0 36000:1 32400:2 39600:3 36000:4|0123242424242424242425|-CAAAAAAAAAA= -6x46NA== -gcnStA== -NMhqIA== -L9F2EA== -E8hCAA== -EMkHEA== -BGUAAA== -AcDYdA== -/uIA -oqcQ lywA AUZ1cA== AncOAA== AyZXcA== B3CXAA== B8zR8A== DAiRAA== DHyHLA== Db+UgA== DmWjcA== OkNeYA==
Pacific/Honolulu|LMT HST HDT HWT HPT|-37886:0 -37800:1 -34200:2 -34200:3 -34200:4 -36000:1|01213415|-CAAAAAAAAAA= -ix+PQg== -RPq8uA== -RN6OqA== -NHbCOA== -LdwLkA== -LZ62yA== -KnKMuA==
Pacific/Johnston|LMT HST HDT HWT HPT|-37886:0 -37800:1 -34200:2 -34200:3 -34200:4 -36000:1|01213415|-CAAAAAAAAAA= -ix+PQg== -RPq8uA== -RN6OqA== -NHbCOA== -LdwLkA== -LZ62yA== -KnKMuA==
Pacific/Kiritimati|LMT -1040 -10 +14|-37760:0 -38400:1 -36000:2 50400:3|01233|-CAAAAAAAAAA= -gci3gA== ElXyAA== LwUroA== f////w==
Pacific/Kosrae|LMT +11 +09 +10 +12|-47284:0 39116:0 39600:1 32400:2 36000:3 43200:4 39600:1|01232432522|-CAAAAAAAAAA= -6x5LTA== -gcnjzA== -Z+5qMA== -X8YGEA== -PhLKMA== -NhX1oA== -Le7xEA== -eeSw NotnQA== f////w==
Pacific/Kwajalein|LMT +11 +10 +09 -12 +12|40160:0 39600:1 36000:2 32400:3 -43200:4 43200:5|01231455|-CAAAAAAAAAA= -gcnn4A== -PhLKMA== -NhX1oA== -MLl+EA== -eeSw LHYOQA== f////w==
Pacific/Majuro|LMT +11 +09 +10 +12|41088:0 39600:1 32400:2 36000:3 43200:4|012132144|-CAAAAAAAAAA= -gcnrgA== -Z+5qMA== -X8YGEA== -PhLKMA== -NhX1oA== -MMK4kA== -eeSw f////w==
Pacific/Marquesas|LMT -0930|-33480:0 -34200:1|011|-CAAAAAAAAAA= -a6+zuA== f////w==
Pacific/Midway|LMT SST|45432:0 -40968:0 -39600:1|012|-CAAAAAAAAAA= -kcI3+A== -bvoE+A==
Pacific/Nauru|LMT +1130 +09 +12|40060:0 41400:1 32400:2 43200:3|012133|-CAAAAAAAAAA= -XBjU/A== -M28WOA== -LbzYEA== ESGo6A== f////w==
Pacific/Niue|LMT -1120 -1130 -11|-40780:0 -40800:1 -41400:2 -39600:3|01233|-CAAAAAAAAAA= -gcirtA== -I7zKoA== EHTKOA== f////w==
Pacific/Norfolk|LMT +1112 +1130 +1230 +11 +12|40312:0 40320:1 41400:2 45000:3 41400:2 39600:4 43200:5 39600:4|012345765656565656565656565656565656565656566|-CAAAAAAAAAA= -gcnoeA== -I74HgA== CQ/KaA== CbXnaA== Vg/maA== XRiyUA== XZiv8A== Xoig8A== X3iR8A== YGiC8A== YVhz8A== Ykhk8A== YzhV8A== ZChG8A== ZRg38A== ZhFjcA== ZwFUcA== Z/FFcA== aOE2cA== adEncA== asEYcA== a7EJcA== bKD6cA== bZDrcA== boDccA== b3DNcA== cGn48A== cVnp8A== ckna8A== cznL8A== dCm88A== dRmt8A== dgme8A== dvmP8A== d+mA8A== eNlx8A== ecli8A== erlT8A== e7J/cA== fKJwcA== fZJhcA== foJScA== f3JDcA== f////w==
Pacific/Noumea|LMT +12 +11|39948:0 43200:1 39600:2 43200:1 39600:2|021212344|-CAAAAAAAAAA= -bQo7jA== Dua6UA== D1a7wA== EMacUA== ETfvQA== MqBL8A== MxhEcA== f////w==
Pacific/Pago_Pago|LMT SST|45432:0 -40968:0 -39600:1|012|-CAAAAAAAAAA= -kcI3+A== -bvoE+A==
Pacific/Palau|LMT +09|-54124:0 32276:0 32400:1|0122|-CAAAAAAAAAA= -6x4wlA== -gcnJFA== f////w==
Pacific/Pitcairn|LMT -0830 -08|-31220:0 -30600:1 -28800:2|0122|-CAAAAAAAAAA= -gcjRDA== NURCCA== f////w==
Pacific/Pohnpei|LMT +11 +09 +10|-48428:0 37972:0 39600:1 32400:2 36000:3 39600:1|012324322|-CAAAAAAAAAA= -6x5G1A== -gcnfVA== -Z+5qMA== -X8YGEA== -PhLKMA== -NhX1oA== -Le7xEA== f////w==
Pacific/Ponape|LMT +11 +09 +10|-48428:0 37972:0 39600:1 32400:2 36000:3 39600:1|012324322|-CAAAAAAAAAA= -6x5G1A== -gcnfVA== -Z+5qMA== -X8YGEA== -PhLKMA== -NhX1oA== -Le7xEA== f////w==
Pacific/Port_Moresby|LMT PMMT +10|35320:0 35312:1 36000:2|0122|-CAAAAAAAAAA= -qUml+A== -jRJbcA== f////w==
Pacific/Rarotonga|LMT -1030 -10 -0930|-38344:0 -37800:1 -36000:2 -34200:3|01323232323232323232323232322|-CAAAAAAAAAA= -gci1OA== EKwbKA== ET+1GA== EnmBIA== Ex+XGA== FFljIA== FP95GA== FjlFIA== FuiVmA== GCJhoA== GMh3mA== GgJDoA== GqhZmA== G+IloA== HIg7mA== HcIHoA== HmgdmA== H6HpoA== IEf/mA== IYHLoA== IjEcGA== I2roIA== JBD+GA== JUrKIA== JfDgGA== JyqsIA== J9DCGA== f////w==
Pacific/Saipan|LMT GST +09 GDT ChST|-51660:0 34740:0 36000:1 32400:2 39600:3 36000:4|0123242424242424242425|-CAAAAAAAAAA= -6x46NA== -gcnStA== -NMhqIA== -L9F2EA== -E8hCAA== -EMkHEA== -BGUAAA== -AcDYdA== -/uIA -oqcQ lywA AUZ1cA== AncOAA== AyZXcA== B3CXAA== B8zR8A== DAiRAA== DHyHLA== Db+UgA== DmWjcA== OkNeYA==
Pacific/Samoa|LMT SST|45432:0 -40968:0 -39600:1|012|-CAAAAAAAAAA= -kcI3+A== -bvoE+A==
Pacific/Tahiti|LMT -10|-35896:0 -36000:1|011|-CAAAAAAAAAA= -a6+qSA== f////w==
Pacific/Tarawa|LMT +12|41524:0 43200:1|011|-CAAAAAAAAAA= -gcntNA== f////w==
Pacific/Tongatapu|LMT +1220 +13 +14|44360:0 44400:1 46800:2 50400:3 46800:2 50400:3|012345252522|-CAAAAAAAAAA= -gcn4SA== -Noy9cA== N/tH0A== ONN90A== OgQIUA== OnK4QA== O+PqUA== PFKaQA== WB3X0A== WHog0A== f////w==
Pacific/Truk|LMT +10 +09|-49972:0 36428:0 36000:1 32400:2 36000:1|01232322|-CAAAAAAAAAA= -6x5AzA== -gcnZTA== -Z+5cIA== -X8YGEA== -NhX1oA== -Le7xEA== f////w==
Pacific/Wake|LMT +12|39988:0 43200:1|011|-CAAAAAAAAAA= -gcnnNA== f////w==
Pacific/Wallis|LMT +12|44120:0 43200:1|011|-CAAAAAAAAAA= -gcn3WA== f////w==
Pacific/Yap|LMT +10 +09|-49972:0 36428:0 36000:1 32400:2 36000:1|01232322|-CAAAAAAAAAA= -6x5AzA== -gcnZTA== -Z+5cIA== -X8YGEA== -NhX1oA== -Le7xEA== f////w==
